component	line	severity	disposition
src/adapters/agents/agent-config.ts	72	CRITICAL	follow-up slice (by path)
src/adapters/agents/agents.ts	309	CRITICAL	follow-up slice (by path)
src/adapters/agents/claude-stream-render.ts	220	CRITICAL	follow-up slice (by path)
src/adapters/agents/claude-stream-render.ts	306	CRITICAL	follow-up slice (by path)
src/adapters/agents/claude-stream-view.ts	119	CRITICAL	follow-up slice (by path)
src/adapters/agents/claude-telemetry.ts	69	CRITICAL	follow-up slice (by path)
src/adapters/agents/codex-telemetry.ts	26	CRITICAL	follow-up slice (by path)
src/adapters/agents/codex-telemetry.ts	112	CRITICAL	follow-up slice (by path)
src/adapters/agents/opencode-telemetry.ts	30	CRITICAL	follow-up slice (by path)
src/adapters/agents/opencode-telemetry.ts	128	CRITICAL	follow-up slice (by path)
src/adapters/agents/opencode-telemetry.ts	161	CRITICAL	follow-up slice (by path)
src/adapters/agents/opencode-telemetry.ts	193	CRITICAL	follow-up slice (by path)
src/adapters/agents/opencode.ts	352	CRITICAL	follow-up slice (by path)
src/adapters/agents/pi.ts	283	CRITICAL	follow-up slice (by path)
src/adapters/agents/qwen-telemetry.ts	98	CRITICAL	follow-up slice (by path)
src/adapters/agents/qwen.ts	116	CRITICAL	follow-up slice (by path)
src/adapters/agents/running-sessions.ts	178	CRITICAL	follow-up slice (by path)
src/adapters/agents/vibe.ts	53	CRITICAL	follow-up slice (by path)
src/adapters/agents/vibe.ts	148	CRITICAL	follow-up slice (by path)
src/adapters/architecture/boundary-guards.ts	182	CRITICAL	follow-up slice (by path)
src/adapters/backlog/checkpoint-document.ts	36	CRITICAL	follow-up slice (by path)
src/adapters/backlog/mission-materialization.ts	97	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-file-io.ts	78	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-file-io.ts	219	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-metadata.ts	52	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-metadata.ts	259	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-transitions.ts	135	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-transitions.ts	284	CRITICAL	follow-up slice (by path)
src/adapters/backlog/task-transitions.ts	382	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/active.ts	43	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/active.ts	448	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/active.ts	765	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/draft-setup.ts	218	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/draft-stats.ts	230	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/draft-stats.ts	666	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/repair-handoff.ts	99	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-backfill.ts	199	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-backfill.ts	303	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-cohorts.ts	75	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-report-rendering.ts	102	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-report-rendering.ts	267	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats-report-rendering.ts	405	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/stats.ts	818	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/status-adapter.ts	146	CRITICAL	follow-up slice (by path)
src/adapters/cli/commands/status.ts	204	CRITICAL	follow-up slice (by path)
src/adapters/cli/startup-preflight.ts	15	CRITICAL	promote (process/port boundary)
src/adapters/config/product-config.ts	218	CRITICAL	follow-up slice (by path)
src/adapters/config/repository-gates.ts	257	CRITICAL	follow-up slice (by path)
src/adapters/filesystem/mission-paths.ts	78	CRITICAL	follow-up slice (by path)
src/adapters/filesystem/mission-paths.ts	138	CRITICAL	follow-up slice (by path)
src/adapters/forgejo/forgejo-git.ts	168	CRITICAL	promote (real Forgejo boundary)
src/adapters/forgejo/forgejo-git.ts	289	CRITICAL	promote (real Forgejo boundary)
src/adapters/forgejo/forgejo-pr.ts	111	CRITICAL	promote (real Forgejo boundary)
